title;eng_title;id_index_num;fuss_index;language;written date;published_date;presented_date;pub_type;document_type;source_publication;source_vol;page_range;oo_series;oo_volnum;oo_fpage;oo_lpage;list_view_id_tag;label;calc_url
De singulari genere quaestionum Diophantearum et methodo maxime recondita eas resolvendi;On a singular type of Diophantine questions and a most recondite method by which they are to be resolved;683;76;Latin;1777;1777;1777;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;9;3-18;1;4;221;234;E683;683;https://scholarlycommons.pacific.edu/euler-works/683
De radicibus aequationis infinitae 0 = 1 – <em>xx</em>/(<em>n</em>(<em>n</em>+1)) + <em>x</em><sup>4</sup>/(<em>n</em>(<em>n</em>+1)(<em>n</em>+2)(<em>n</em>+3)) – <em>x</em><sup>6</sup>/(<em>n</em>.....(<em>n</em>+5)) + etc.;On the roots of the infinite equation 0 = 1 – <em>xx</em>/(<em>n</em>(<em>n</em>+1)) + <em>x</em><sup>4</sup>/(<em>n</em>(<em>n</em>+1)(<em>n</em>+2)(<em>n</em>+3)) – <em>x</em><sup>6</sup>/(<em>n</em>.....(<em>n</em>+5)) + etc.;684;111;Latin;1777;1777;1777;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;9;19-40;1;16A;241;265;E684;684;https://scholarlycommons.pacific.edu/euler-works/684
Exercitatio analytica, ubi imprimis seriei maxime generalis summatio traditur;An analytical exercise, where in particular a most general summation of series is given;685;185;Latin;1777;1777;1777;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;9;41-53;1;16A;266;281;E685;685;https://scholarlycommons.pacific.edu/euler-works/685
Dilucidationes super formulis, quibus sinus et cosinus angulorum multiplorum exprimi solent, ubi simul ingentes difficultates diluuntur;Elucidations about the formula, in which the sines and cosines of angles are to be multiplied, where at once large difficulties are diluted;686;148;Latin;1777;1777;1777;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;9;54-80;1;16A;282;310;E686;686;https://scholarlycommons.pacific.edu/euler-works/686
De insignibus proprietatibus formularum integralium praeter binas variabiles etiam earum differentialia cuiuscunque ordinis involventium;;687;287;Latin;1777;1777;1777;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;9;81-97;1;23;295;312;E687;687;https://scholarlycommons.pacific.edu/euler-works/687
Specimen integrationis abstrusissimae hac formula ∫<em>∂x</em>/((1+<em>x</em>)∙(2<em>xx</em>–1)<sup>1/4</sup>) contentae;A most abstruse specimen of integral contained in the formula ∫<em>∂x</em>/((1+<em>x</em>)∙(2<em>xx</em>–1)<sup>1/4</sup>);688;216;Latin;1777;1777;1777;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;9;98-117;1;19;228;250;E688;688;https://scholarlycommons.pacific.edu/euler-works/688
Integratio formulae differentialis maxime irrationalis, quam tamen per logarithmos et arcus circulares expedire licet;;689;212;Latin;1777;1777;1777;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;9;118-126;1;19;251;262;E689;689;https://scholarlycommons.pacific.edu/euler-works/689
Evolutio formulae integralis ∫<em>∂z</em>(3+<em>zz</em>)/((1+<em>zz</em>)∙(1+6<em>zz</em>+<em>z</em><sup>4</sup>)<sup>1/4</sup>) per logarithmos et arcus circulares;The expansion of the integral formula ∫<em>∂z</em>(3+<em>zz</em>)/((1+<em>zz</em>)∙(1+6<em>zz</em>+<em>z</em><sup>4</sup>)<sup>1/4</sup>) by logarithms and circular arcs;690;214;Latin;1777;1777;1777;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;9;127-131;1;19;262;267;E690;690;https://scholarlycommons.pacific.edu/euler-works/690
Problema geometricum quo inter omnes ellipses quae per data quatuor puncta traduci possunt ea quaeritur quae habet aream minimam;;691;351;Latin;1777;1777;1777;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;9;132-145;1;29;226;238;E691;691;https://scholarlycommons.pacific.edu/euler-works/691
Solutio problematis maxime curiosi quo inter omnes ellipses quae circa datum triangulum circumscribi possunt ea quaeritur cuius area sit omnium minima;;692;350;Latin;1777;1777;1777;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;9;146-153;1;29;239;246;E692;692;https://scholarlycommons.pacific.edu/euler-works/692
De centro simulitudinis;On the center of similarity;693;304;Latin;1777;1777;1777;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;9;154-169;1;26;276;285;E693;693;https://scholarlycommons.pacific.edu/euler-works/693
Ulterior disquitio de formulis integralibus imaginariis;Later paper on formulas of imaginary integrals;694;104;Latin;1777;1777;1777;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;10;3-19;1;19;268;286;E694;694;https://scholarlycommons.pacific.edu/euler-works/694
Integratio succincta formulae integralis maxime memorabilis ∫<em>∂z</em>/((3±<em>zz</em>)∙(1±3<em>zz</em>)<sup>1/3</sup>);A succinct integration of the most memorable integral formula ∫<em>∂z</em>/((3±<em>zz</em>)∙(1±3<em>zz</em>)<sup>1/3</sup>);695;215;Latin;1777;1777;1777;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;10;20-26;1;19;287;296;E695;695;https://scholarlycommons.pacific.edu/euler-works/695
De casubus quibus hanc formulam <em>x</em><sup>4</sup> + <em>kxxyy</em> + <em>y</em><sup>4</sup> ad quadratum reducere licet;On the cases in which the form <em>x</em><sup>4</sup> + <em>kxxyy</em> + <em>y</em><sup>4</sup> can be reduced to a square;696;57;Latin;1777;1777;1777;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;10;27-40;1;4;235;244;E696;696;https://scholarlycommons.pacific.edu/euler-works/696
Investigatio superficierum quarum normales ad datum planum productae sint omnes inter se aequales;;697;435;Latin;1777;1777;1777;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;10;41-46;1;29;247;252;E697;697;https://scholarlycommons.pacific.edu/euler-works/697
Variae speculationes super area triangulorum sphaericorum;Several speculations about the area of spherical triangles;698;335;Latin;1778;1778;1778;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;10;47-62;1;29;253;266;E698;698;https://scholarlycommons.pacific.edu/euler-works/698
Utrum hic numerus 100009 sit primus necne inquiritur;Inquiring on whether or not the number 100009 is prime;699;31;Latin;1778;1778;1778;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;10;63-73;1;4;245;254;E699;699;https://scholarlycommons.pacific.edu/euler-works/699
De formulis differentialibus secundi gradus quae integrationem admittunt;On differential equations of the second degree which admit integration;700;258;Latin;1777;1777;1777;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;11;3-26;1;23;313;338;E700;700;https://scholarlycommons.pacific.edu/euler-works/700
Formae generales differentialium, quae, etsi nulla substitutione rationales reddi possunt. tamen integrationem per logarithmos et arcus circulares admittunt;;701;211;Latin;1777;1777;1777;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;11;27-77;1;19;297;344;E701;701;https://scholarlycommons.pacific.edu/euler-works/701
De novo genere quaestionum arithmeticarum pro quibus solvendis certa methodus adhuc desideratur;;702;42;Latin;1777;1777;1777;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;11;78-93;1;4;255;268;E702;702;https://scholarlycommons.pacific.edu/euler-works/702
Methodus facilis inveniendi series per sinus sosinusve angulorum multiplorum procedentes, quarum usus in universa theoria astronomiae est amplissimus;An easy method for finding series proceeding by the multiplication of the sines and cosines of angles, of which the use in the universal theory of astronomy is very great;703;150;Latin;1777;1777;1777;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;11;94-113;1;16A;311;332;E703;703;https://scholarlycommons.pacific.edu/euler-works/703
Disquisitio ulterior super seriebus secundum multipla cuiusdam anguli progredientibus;;704;151;Latin;1777;1777;1777;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;11;114-132;1;16A;333;354;E704;704;https://scholarlycommons.pacific.edu/euler-works/704
Investigatio quarundam serierum, quae ad rationem peripheriae circuli ad diametrum vero proxime definiendam maxime sunt accommodatae;;705;157;Latin;1779;1779;1779;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;11;133-149;1;16B;1;20;E705;705;https://scholarlycommons.pacific.edu/euler-works/705
De novo genere serierum rationalium et valde convergentium, quibus ratio peripheriae ad diametrum exprimi potest;On a new type of rational and highly convergent series, by which the ratio of the periphery to the diameter is able to be expressed;706;158;Latin;1779;1779;1779;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;11;150-154;1;16B;21;27;E706;706;https://scholarlycommons.pacific.edu/euler-works/706
De insigni usu calculi imaginariorum in calculo integrali;On the outstanding use of the calculation of imaginations in the calculation of an integral;707;105;Latin;1777;1777;1777;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;12;3-21;1;19;345;368;E707;707;https://scholarlycommons.pacific.edu/euler-works/707
De formulis speciei <em>mxx</em>+<em>nyy</em> ad numeros primos explorandos idoneis earumque mirabilibus proprietatibus;On forms of the type <em>mxx</em>+<em>nyy</em> for exploring prime numbers by idoneals of them with remarkable properties;708;32;Latin;1778;1778;1778;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;12;22-46;1;4;269;289;E708;708;https://scholarlycommons.pacific.edu/euler-works/708
De evolutione potestatis polynomialis cuiuscunque (1 + <em>x</em> + <em>x</em><sup>2</sup> + <em>x</em><sup>3</sup> + <em>x</em><sup>4</sup> + etc.)<sup><em>n</em></sup>;On the expansion of the power of any polynomial (1 + <em>x</em> + <em>x</em><sup>2</sup> + <em>x</em><sup>3</sup> + <em>x</em><sup>4</sup> + etc.)<sup><em>n</em></sup>;709;168;Latin;1778;1778;1778;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;12;47-57;1;16B;28;40;E709;709;https://scholarlycommons.pacific.edu/euler-works/709
Specimen transformationis singularis serierum;Example of the transformation of singular series;710;165;Latin;1778;1778;1778;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;12;58-70;1;16B;41;55;E710;710;https://scholarlycommons.pacific.edu/euler-works/710
Methodus nova ac facilis omnium aequationum algebraicarum radices non solum ipsas sed etiam quascumque earum potestates per series concinnas exprimendi;A new and easy method for expressing for all algebraic equations not only their roots but also the powers of them by constructing series;711;113;Latin;1778;1778;1778;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;12;71-90;1;6;447;464;E711;711;https://scholarlycommons.pacific.edu/euler-works/711
De corporibus cylindricis incurvatis;;712;439;Latin;1778;1778;1778;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;12;91-100;1;29;267;275;E712;712;https://scholarlycommons.pacific.edu/euler-works/712
Investigatio trianguli in quo distantiae angulorum ab eius centro gravitatis rationaliter exprimantur;An investigation of a triangle in which the distances of the angles from the center of gravity of it may be expressed rationally;713;322;Latin;1778;1778;1778;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;12;101-113;1;4;290;302;E713;713;https://scholarlycommons.pacific.edu/euler-works/713
Exempla quarundam memorabilium aequationum differentialium, quas adeo algebraice integrare licet, etiamsi nulla via pateat variabiles a se invicem separandi;;714;267;Latin;1778;1778;1778;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;13;3-13;1;21;227;240;E714;714;https://scholarlycommons.pacific.edu/euler-works/714
De variis modis numeros praegrandes examinandi, utrum sint primi necne?;On various ways of examining very large numbers, for whether or not they are primes;715;20;Latin;1778;1778;1778;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;13;14-44;1;4;303;328;E715;715;https://scholarlycommons.pacific.edu/euler-works/715
Resolutio formulae diophanteae ab(maa+nbb)=cd(mcc+ndd) per numeros rationales;Resolutio formulae diophanteae <em>ab</em>(<em>maa</em>+<em>nbb</em>) = <em>cd</em>(<em>mcc</em>+<em>ndd</em>) per numeros rationales;716;54;Latin;1778;1778;1778;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;13;45-63;1;4;329;351;E716;716;https://scholarlycommons.pacific.edu/euler-works/716
Solutio problematis mechanici;Solution to a problem of mechanics;717;476;Latin;1782;1782;1782;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;13;64-69;2;7;171;176;E717;717;https://scholarlycommons.pacific.edu/euler-works/717
Facillima methodus plurimos numeros primos praemagnos inveniendi;An easy method of finding several rather large prime numbers;718;21;Latin;1778;1778;1778;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;14;3-10;1;4;352;359;E718;718;https://scholarlycommons.pacific.edu/euler-works/718
Methodus generalior numeros quosvis satis grandes perscrutandi utrum sint primi necne?;A more general method by which all adequately large numbers may be scrutinized for whether or not they are prime;719;22;Latin;1778;1778;1778;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;14;11-51;1;4;360;394;E719;719;https://scholarlycommons.pacific.edu/euler-works/719
Observatio singularis circa aequationes differentiales lineares;Special observations about linear differential equations;720;263;Latin;1778;1778;1778;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;14;52-61;1;23;339;348;E720;720;https://scholarlycommons.pacific.edu/euler-works/720
De integrationibus difficillimis, quarum integralia tamen aliunde exhiberi possunt;;721;244;Latin;1777;1777;1777;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;14;62-74;1;19;369;389;E721;721;https://scholarlycommons.pacific.edu/euler-works/721
Disquitiones analyticae super evolutione potestatis trinomialis (1+<em>x</em>+<em>xx</em>)<sup><em>n</em></sup>;Analytical disquisitions on the expansion of the trinomial power (1+<em>x</em>+<em>xx</em>)<sup><em>n</em></sup>;722;170;Latin;1778;1778;1778;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;14;75-110;1;16B;56;103;E722;722;https://scholarlycommons.pacific.edu/euler-works/722
Brief von Euler;A letter by Euler;723;;German;1735;1735;1735;published;letter;Nordischer Merkur;2;249-252;3;2;390;391;E723;723;https://scholarlycommons.pacific.edu/euler-works/723
Recherches sur quelques intégrations remarquables dans l'analyse des fonctions à deux variables connues sous le nom de différences partielles;Research on some remarkable integrations in the analysis of two-variable functions, known under the title of partial differentials;724;284;French;1777;1777;1777;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;15;3-28;1;23;349;378;E724;724;https://scholarlycommons.pacific.edu/euler-works/724
Illustratio paradoxi circa progressionem numerorum idoneorum sive congruorum;An illustration of a paradox about the idoneal, or suitable, numbers;725;38;Latin;1778;1778;1778;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;15;29-32;1;4;395;398;E725;725;https://scholarlycommons.pacific.edu/euler-works/725
Demonstratio insignis theorematis numerici circa uncias potestatum binomialium;A demonstration of a notable theorem of numbers a twelfth part of binomial powers;726;136;Latin;1778;1778;1778;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;15;33-43;1;16B;104;116;E726;726;https://scholarlycommons.pacific.edu/euler-works/726
Accuratior evolutio problematis de linea brevissima in superficie quacunque ducenda;A more accurate treatment of the problem of drawing the shortest line on a surface;727;404;Latin;1779;1779;1779;journal;article;Nova Acta Academiae Scientiarum Imperialis Petropolitanae;15;44-54;1;25;269;279;E727;727;https://scholarlycommons.pacific.edu/euler-works/727
De resolutione fractionum compositarum in simpliciores;On the resolution of composite fractions into simpler ones;728;97;Latin;1779;1779;1779;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;1;3-25;1;6;465;485;E728;728;https://scholarlycommons.pacific.edu/euler-works/728
Dilucidationes super Problemate geometrico de quadrisectione trianguli a Iacobo Bernoulli olum tractato;;729;307;Latin;1779;1779;1779;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;1;26-48;1;26;286;303;E729;729;https://scholarlycommons.pacific.edu/euler-works/729
Solutio completa problematis de quadrisectione trianguli per duas rectas inter se normales;;730;308;Latin;1779;1779;1779;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;1;49-87;1;26;304;333;E730;730;https://scholarlycommons.pacific.edu/euler-works/730
Solutio problematis ob singularia calculi artivicia memorabilis;The solution of a memorable problem by a special artifice of calculation;731;386;Latin;1779;1779;1779;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;2;3-9;1;25;280;285;E731;731;https://scholarlycommons.pacific.edu/euler-works/731
Solutio facilior problematis Diophantei circa triangulum, in quo rectae ex angulis latera opposita bisecantes rationaliter exprimantur;An easier solution of a Diophantine problem about triangles, in which those lines from the vertices which bisect the opposite sides may be expressed rationally;732;325;Latin;1779;1779;1779;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;2;10-16;1;4;399;405;E732;732;https://scholarlycommons.pacific.edu/euler-works/732
Solutio facilis problematis, quo quaeritur sphaera, quae datas quatuor sphaeras utcunque dispositas contingat;;733;312;Latin;1779;1779;1779;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;2;17-28;1;26;334;343;E733;733;https://scholarlycommons.pacific.edu/euler-works/733
Integratio aequationis differentialis huius <em>dy</em> + <em>yy dx</em> = (<em>A dx</em>)/(<em>a</em>+2<em>bx</em>+<em>cxx</em>)<sup>2</sup>;The integration of the differential equation <em>dy</em> + <em>yy dx</em> = (<em>A dx</em>)/(<em>a</em>+2<em>bx</em>+<em>cxx</em>)<sup>2</sup>;734;272;Latin;1779;1779;1779;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;3;3-15;1;23;379;392;E734;734;https://scholarlycommons.pacific.edu/euler-works/734
De insigni paradoxo, quod in analysi maximorum et minimorum occurrit;On an outstanding paradox, which occurs in the analysis of maximums and minimums;735;199;Latin;1779;1779;1779;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;3;16-25;1;25;286;292;E735;735;https://scholarlycommons.pacific.edu/euler-works/735
De summatione serierum in hac forma contentarum <em>a</em>/1 + <em>a</em><sup>2</sup>/4 + <em>a</em><sup>3</sup>/9 + <em>a</em><sup>4</sup>/16 + <em>a</em><sup>5</sup>/25 + <em>a</em><sup>6</sup>/36 + etc.;On the summation of series contained in the form <em>a</em>/1 + <em>a</em><sup>2</sup>/4 + <em>a</em><sup>3</sup>/9 + <em>a</em><sup>4</sup>/16 + <em>a</em><sup>5</sup>/25 + <em>a</em><sup>6</sup>/36 + etc.;736;187;Latin;1779;1779;1779;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;3;26-42;1;16B;117;138;E736;736;https://scholarlycommons.pacific.edu/euler-works/736
De transformatione functionum duas variabiles involventium dum earum loco aliae binae variabiles introducuntur;;737;286;Latin;1779;1779;1779;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;3;43-56;1;23;393;406;E737;737;https://scholarlycommons.pacific.edu/euler-works/737
Solutio quaestionis curiosae ex doctrina combinationum;The solution of a curious question in the scene of combinations;738;192;Latin;1779;1779;1779;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;3;57-64;1;7;435;440;E738;738;https://scholarlycommons.pacific.edu/euler-works/738
Regula facilis problemata Diophantea per numeros integros expedite resolvendi;An easy rule for Diophantine problems which are to be resolved quickly by integral numbers;739;79;Latin;1778;1778;1778;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;4;3-17;1;4;406;417;E739;739;https://scholarlycommons.pacific.edu/euler-works/739
De lineis curvis non in eodem plano sitis, quae maximi minimive proprietate sunt praeditae;;740;408;Latin;1779;1779;1779;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;4;18-42;1;25;293;313;E740;740;https://scholarlycommons.pacific.edu/euler-works/740
Analysis facilis aequationem Riccatianam per fractionem continuam resolvendi;;741;264;Latin;1779;1779;1779;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;4;12-29;1;23;407;413;E741;741;https://scholarlycommons.pacific.edu/euler-works/741
Observationes circa fractiones continuas in hac forma contentas <em>S</em> = <em>n</em>/(1+(<em>n</em>+1)/(2+(<em>n</em>+2)/(3+(<em>n</em>+3)/(4+etc.))));Observations about continued fractions contained in the form <em>S</em> = <em>n</em>/(1+(<em>n</em>+1)/(2+(<em>n</em>+2)/(3+(<em>n</em>+3)/(4+etc.))));742;99;Latin;1779;1779;1779;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;4;52-74;1;16B;139;161;E742;742;https://scholarlycommons.pacific.edu/euler-works/742
De serie maxime memorabili, qua potestas binomialis quaecunque exprimi potest;;743;132;Latin;1779;1779;1779;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;4;75-87;1;16B;162;177;E743;743;https://scholarlycommons.pacific.edu/euler-works/743
De divisoribus numerorum in forma mxx+nyy contentorum;On divisors of numbers of the form <em>mxx</em> + <em>nyy</em>;744;14;Latin;1778;1778;1778;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;5;3-23;1;4;418;431;E744;744;https://scholarlycommons.pacific.edu/euler-works/744
De fractionibus continuis Wallisii;On the continued fractions of Wallis;745;100;Latin;1780;1780;1780;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;5;24-44;1;16B;178;199;E745;745;https://scholarlycommons.pacific.edu/euler-works/745
Methodus succincta summas serierum infinitarum per formulas differentiales investigandi;A method for gathering the sums of infinite series by investigating differential formulas;746;188;Latin;1780;1780;1780;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;5;45-56;1;16B;200;213;E746;746;https://scholarlycommons.pacific.edu/euler-works/746
De seriebus memorabilibus, quibus sinus et cosinus angulorum multiplorum exprimere licet;On remarkable series, by which the sines and cosines of multiplied angles may be expressed;747;152;Latin;1780;1780;1780;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;5;57-72;1;16B;214;231;E747;747;https://scholarlycommons.pacific.edu/euler-works/747
Investigatio quadrilateri, in quo singularum angulorum sinus datam inter se teneant rationem, ubi artificia prorsus singularia in Analysi Diophantea occurrunt;;748;326;Latin;1780;1780;1780;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;5;73-95;1;5;1;19;E748;748;https://scholarlycommons.pacific.edu/euler-works/748
Geometrica et sphaerica quaedam;About geometry and spheres;749;309;Latin;1780;1780;1780;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;5;96-114;1;26;344;358;E749;749;https://scholarlycommons.pacific.edu/euler-works/749
Commentatio in fractionem continuam, qua illustris La Grange potestates binomiales expressit;A commentary on the continued fraction by which the illustrious La Grange has expressed the binomial powers;750;101;Latin;1780;1780;1780;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;6;3-11;1;16B;232;240;E750;750;https://scholarlycommons.pacific.edu/euler-works/750
Analysis facilis aequationem Riccatianam per fractionem continuam resolvendi;;751;273;Latin;1780;1780;1780;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;6;12-29;1;23;414;430;E751;751;https://scholarlycommons.pacific.edu/euler-works/751
De integralibus quibusdam inventu difficillimis;;752;241;Latin;1780;1780;1780;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;6;30-53;1;19;390;418;E752;752;https://scholarlycommons.pacific.edu/euler-works/752
Solution succincta et elegans problematis, quo quaeruntur tres numeri tales, ut tam summae quam differentiae binorum sint quadrata;Solution succincta et elegans problematis, quo quaeruntur tres numeri tales, ut tam summae quam differentiae binorum sint quadrata;753;43;Latin;1780;1780;1780;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;6;54-65;1;5;20;27;E753;753;https://scholarlycommons.pacific.edu/euler-works/753
Probleme de geometrie resolu par l'analyse de Diophante;On a problem of geometry resolved by Diophantine analysis;754;327;Latin;1782;1782;1782;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;7;3-9;1;5;28;34;E754;754;https://scholarlycommons.pacific.edu/euler-works/754
De casibus, quibus formulam <em>x</em><sup>4</sup>+<em>mxxyy</em>+<em>y</em><sup>4</sup> ad quadratum reducere licet;On cases for which the formula <em>x</em><sup>4</sup>+<em>mxxyy</em>+<em>y</em><sup>4</sup> can be reduced to a square;755;52;Latin;1782;1782;1782;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;7;10-22;1;5;35;47;E755;755;https://scholarlycommons.pacific.edu/euler-works/755
Solutio problematis mechanici non parum curiosi;Solution to some curious problems of mechanics;756;475;Latin;1782;1782;1782;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;7;23-32;2;7;177;187;E756;756;https://scholarlycommons.pacific.edu/euler-works/756
De problemate traiectoriarum orthogonalium ad superficies translato;On the problem of orthogonal trajectories, translated to surfaces;757;395;Latin;1782;1782;1782;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;7;33-60;1;29;276;308;E757;757;https://scholarlycommons.pacific.edu/euler-works/757
De binis formulis speciei <em>xx</em>+<em>myy</em> et <em>xx</em>+<em>nyy</em> inter se concordibus et discordibus;;758;77;Latin;1780;1780;1780;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;8;3-16;1;5;48;60;E758;758;https://scholarlycommons.pacific.edu/euler-works/758
Investigatio accuratior circa brachystochronas;A more accurate investigation into brachistochrones;759;381;Latin;1780;1780;1780;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;8;17-28;1;25;314;325;E759;759;https://scholarlycommons.pacific.edu/euler-works/759
De vera brachystochrona seu linea celerrimi descensus in medio resistente;On true brachistochrones or lines of the fastest descent in a resistant medium;760;380;Latin;1780;1780;1780;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;8;29-40;1;25;326;337;E760;760;https://scholarlycommons.pacific.edu/euler-works/760
De brachystochrona in medio resistente, dum corpus ad centrum virium utunque attrahitur;On the brachistochrone in a resistant medium while a body is attracted to a center of forces in one way or another;761;382;Latin;1780;1780;1780;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;8;41-45;1;25;338;342;E761;761;https://scholarlycommons.pacific.edu/euler-works/761
Lettera inedita di Eulero a Lagrange;Unpublished letter from Euler to Lagrange;762;;French;1766;1766;1766;published;letter;Biblioteca Italiana;30;111-112;;;;;E762;762;https://scholarlycommons.pacific.edu/euler-works/762
De tribus pluribusve numeris inveniendis, quorum summa sit quadratum, quadratorum vero summa biquadratum;On finding three or more numbers, the sum of which is a square, while the sum of the squares is a fourth power;763;44;Latin;1780;1780;1780;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;9;3-13;1;5;61;70;E763;763;https://scholarlycommons.pacific.edu/euler-works/763
Resolutio facilis quaestionis difficillimae, qua haec formula maxime generalis <em>vvzz</em>(<em>axx</em>+<em>byy</em>)<sup>2</sup> + Δ<em>xxyy</em>(<em>avv</em>+<em>bzz</em>)<sup>2</sup> ad quadratum reduci postulatur;An easy resolution to a most difficult question, where this most general form <em>vvzz</em>(<em>axx</em>+<em>byy</em>)<sup>2</sup> + Δ<em>xxyy</em>(<em>avv</em>+<em>bzz</em>)<sup>2</sup> is required to be reduced to a square;764;45;Latin;1780;1780;1780;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;9;14-19;1;5;71;76;E764;764;https://scholarlycommons.pacific.edu/euler-works/764
De problemate curvarum synchronarum, eiusque imprimis inverso;;765;396;Latin;;;;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;9;20-34;2;7;188;204;E765;765;https://scholarlycommons.pacific.edu/euler-works/765
Methodus nova et generalis problema synchronarum inversum aliaque eiusdem generis resolvendi;;766;397;Latin;1781;1781;1781;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;9;35-46;2;7;205;217;E766;766;https://scholarlycommons.pacific.edu/euler-works/766
De curvis quarum radii osculi tenent rationem duplicatam distantiae a puncto fixo earumque mirabilibus proprietatibus;;767;430;Latin;1781;1781;1781;journal;article;Mémoires de l'académie des sciences de St.-Petersbourg;9;47-56;1;29;309;319;E767;767;https://scholarlycommons.pacific.edu/euler-works/767
